;,Quiche Operators,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,
;,Notes:,,,,,,,,,,,,,,,,,
;,Operator,,Human readable form,,,,,,,,,,,,,,,
;,Precedence,,Precedence in expressions - higher number equals higher priority,,,,,,,,,,,,,,,
;,Sign Combine,,"If True operator type (signed vs unsigned) and type expansion for constant values will depend on the sign of both values,",,,,,,,,,,,,,,,
;,,,otherwise they will only depend on the sign of the constant value,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
;,Operation,Precedence,SignCombine,,,,,,,,,,,,,,,
,unknown,0,n,,,Denotes an error if this gets through to the code generator,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,add,2,y,,,,,,,,,,,,,,,
,subtract,2,y,,,,,,,,,,,,,,,
,multiply,3,y,,,,,,,,,,,,,,,
;,divide,3,y,,,Floating point divide,,,,,,,,,,,,
,div,3,y,,,Integer divide,,,,,,,,,,,,
,mod,3,y,,,,,,,,,,,,,,,
,shl,3,n,,,Left shift logical,,,,,,,,,,,,
,shr,3,n,,,Right shift logical,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,equal,1,n,,,,,,,,,,,,,,,
,notequal,1,n,,,,,,,,,,,,,,,
,less,1,n,,,,,,,,,,,,,,,
,greaterequal,1,n,,,,,,,,,,,,,,,
,greater,1,n,,,,,,,,,,,,,,,
,lessequal,1,n,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,or,2,n,,,,,,,,,,,,,,,
,xor,2,n,,,,,,,,,,,,,,,
,and,3,n,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Unary operators,,,,,,,,,,,,,,,
,negate,0,n,,,,,,,,,,,,,,,
,complement,0,n,,,,,,,,,,,,,,,
,addrof,0,n,,,,,,,,,,,,,,,
;,deref,0,n,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Typecasts,,,,,,,,,,,,,,,
,Int8,0,n,,,,,,,,,,,,,,,
,Integer,0,n,,,,,,,,,,,,,,,
,Byte,0,n,,,,,,,,,,,,,,,
,Word,0,n,,,,,,,,,,,,,,,
,Pointer,0,n,,,,,,,,,,,,,,,
;,Real,0,n,,,,,,,,,,,,,,,
,Boolean,0,n,,,,,,,,,,,,,,,
,Char,0,n,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Intrinsics - Maths,,,,,,,,,,,,,,,
,abs,0,n,,,,,,,,,,,,,,,
,dec,0,n,,,,,,,,,,,,,,,
,inc,0,n,,,,,,,,,,,,,,,
,odd,0,n,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Intrinsics - System,,,,,,,,,,,,,,,
;,addr,0,n,,,,,,,,,,,,,,,
,hi,0,n,,,,,,,,,,,,,,,
,high,0,n,,,,,,,,,,,,,,,
,inp,0,n,,,,,,,,,,,,,,,
,lo,0,n,,,,,,,,,,,,,,,
,low,0,n,,,,,,,,,,,,,,,
,ord,0,n,,,,,,,,,,,,,,,
,out,0,n,,,,,,,,,,,,,,,
,peek,0,n,,,,,,,,,,,,,,,
,poke,0,n,,,,,,,,,,,,,,,
,pred,0,n,,,,,,,,,,,,,,,
,sizeof,0,n,,,,,,,,,,,,,,,
,succ,0,n,,,,,,,,,,,,,,,
,swap,0,n,,,,,,,,,,,,,,,
,write,0,n,,,,,,,,,,,,,,,
,writeln,0,n,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Intrinsics - Strings and Chars,,,,,,,,,,,,,,,
,chr,0,n,,,,,,,,,,,,,,,
,downcase,0,n,,,,,,,,,,,,,,,
,upcase,0,n,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
END,,,,,,,,,,,,,,,,,,
;,Operator,Group,Symbol,Internal,OpTypes,Precedence,Left op,Right op,Swappable,Match Operands,FuncFlags,Result,Notes,,,,,
;Compiler,,,,,,,,,,,,,,,,,,
;,unknown,system,  ,unknown,              ,-1,Any,N/A,n,n,,Same,Denotes an error if this gets through to the code generator,,,,,
,move,system,,move,x8 x16 boolean,-1,Any,N/A,n,n,,Same,Move data from one location to another,,,,,
,storeimm,system,,storeimm,x8 x16 boolean,-1,Any,N/A,n,n,,Same,Store an immediate value into (eg) a variable,,,,,
;,assign     ,system,:=,assign     ,x8 x16 boolean,-1,Any,N/A,n,n,,Same,DEPRECATED: Used for a load+store where the primitive itself does the load or store (i.e. write immedate value to variable),,,,,
;,branch     ,system,  ,branch     ,              ,-1,Any,N/A,n,n,,Same,Unconditional branch,,,,,
,condbranch ,system,  ,condbranch ,              ,-1,Any,N/A,n,n,,Same,Conditional branch,,,,,
,constbranch,system,  ,constbranch,              ,-1,Any,N/A,n,n,,Same,Conditional branch with a constant expression (immediate value),,,,,
;,phi        ,system,  ,phi        ,              ,-1,Any,N/A,n,n,,Same,phi function,,,,,
,dataload   ,system,  ,dataload   ,              ,-1,Any,N/A,n,n,,Same,Load data into registers (for a function call with params passed in registers),,,,,
,funccall   ,system,  ,funccall   ,              ,-1,Any,N/A,n,n,,Same,Call to function,,,,,
,funcreturn ,system,  ,funcreturn ,              ,-1,Any,N/A,n,n,,Same,Return from function,,,,,
;Misc,,,,,,,,,,,,,,,,,,
;,in (set),binary,in,in,,1,,,n,n,,Boolean,TBD,,,,,
;,,,,,,,,,,,,,,,,,,
;,address (of),unary,@,at,,4,Any variable,N/A,N/A,N/A,,Pointer,,,,,,
;,,,,,,,,,,,,,,,,,,
;,Typecasts,,,,,,,,,,,,,,,,,
,Integer,typecast,integer,integer,x8 x16 boolean,0,Any,N/A,N/A,N/A,,Integer,,,,,,
;,,typecast,%,integer,,0,Any,N/A,N/A,N/A,,Integer,,,,,,
,Int8,typecast,int8,int8,x8 x16 boolean,0,Any,N/A,N/A,N/A,,int8,,,,,,
;,,typecast,%%,int8,,0,Any,N/A,N/A,N/A,,int8,,,,,,
,Word,typecast,word,word,x8 x16 boolean,0,Any,N/A,N/A,N/A,,word,,,,,,
;,,typecast,#,word,,0,Any,N/A,N/A,N/A,,word,,,,,,
,Byte,typecast,byte,byte,x8 x16 boolean,0,Any,N/A,N/A,N/A,,byte,,,,,,
;,,typecast,##,byte,,0,Any,N/A,N/A,N/A,,byte,,,,,,
,Pointer,typecast,pointer,pointer,x8 x16 boolean,0,Any,N/A,N/A,N/A,,pointer,,,,,,
;,,typecast,^,pointer,,0,Any,N/A,N/A,N/A,,pointer,,,,,,
,Boolean,typecast,boolean,boolean,x8 x16 boolean,0,Any,N/A,N/A,N/A,,boolean,,,,,,
;,,typecast,?,boolean,,0,Any,N/A,N/A,N/A,,boolean,,,,,,
,Char,typecast,char,char,x8 x16 boolean,0,Any,N/A,N/A,N/A,,char,,,,,,
;,,typecast,$$,char,,0,Any,N/A,N/A,N/A,,char,,,,,,
;,,,,,,,,,,,,,,,,,,
;,Intrinsics,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,
;,Maths,,,,,,,,,,,,,,,,,TODO
,pi,func,,,,,,,,,,,Pi (constant),,,,,
;,,,,,,,,,,,,,,,,,,
;,System,,,,,,,,,,,,,,,,,
,addr,func,,addr,,,,,,,,,Address of variable (equivalent to @ operator),,,,,
,ptr,func,,ptr,,,,,,,,,??,,,,,
,read,func,,read,,,,,,,,,Read from input,,,,,
,readln,func,,readln,,,,,,,,,Read entire line from input,,,,,
,write,proc,,write,any,0,Any,N/A,n,n,,none,Write to display,,,,,
,writeln,proc,,writeln,any,0,Any,N/A,n,n,,none,Write to display,,,,,
,writenewline,system,,writenewline,any,0,None,N/A,n,n,,none,Start new line (ie. Write end of line marker),,,,,
,writechar,system,,writechar,u8,0,Char,N/A,n,n,,none,Write character to display,,,,,
,writeinteger,system,,writeinteger,u8 u16 s16,0,Integer,N/A,n,n,,none,Write any integer type to the display,,,,,
,writeboolean,system,,writeboolean,boolean,0,Boolean,N/A,n,n,,none,Write boolean as a string,,,,,
;,,,,,,,,,,,,,,,,,,
;,Strings/Chars/Arrays,,,,,,,,,,,,,,,,,
,downcase,func,,downcase,x8,0,Char,N/A,N/A,N/A,,char,Convert character or string to lower case,,,,,
,length,func,,length,,,,,,,,,Length of an array or string,,,,,
,upcase,func,,upcase,x8,0,Char,N/A,N/A,N/A,,char,Uppercase a character or string,,,,,
